gv,bv,pw,positive,negative
20,-70,80,[1.0222101082035806e-05 0.004414038732647896 0.21547195315361023 0.7845280766487122 0.0033706713002175093 1.0146653949050233e-05],[3.197053501935443e-06 0.00014291713887359947 0.016273826360702515 1 0.04856253042817116 3.2191688660532236e-05]
20,-70,90,[1.572148539707996e-05 0.003960595466196537 0.126262828707695 0.8737371563911438 0.010825316421687603 2.7100635634269565e-05],[5.917929593124427e-05 0.008984582498669624 0.19956806302070618 0.8004319071769714 0.007314605172723532 3.400780042284168e-05]
20,-70,100,[0.0005274096038192511 0.2091154307126999 0.53125 0.2596345543861389 0.003648108569905162 9.398555266670883e-05],[9.729799057822675e-05 0.0004693633527494967 0.02794783003628254 0.8422650694847107 0.1577349752187729 0.002269503427669406]
20,-80,0,[1 0.0036212170962244272 8.897201769286767e-05 2.792141640384216e-05 3.085916887357598e-06 0],[4.972690703652916e-07 0 2.023897877734271e-06 0.0004261417197994888 0.11999743431806564 0.8800026178359985]
20,-80,10,[0.0004422207421157509 0.4888175129890442 0.3859761357307434 0.12520632147789001 0.0006949151866137981 1.4753545656276401e-05],[0 7.978169946909475e-07 1.9777608031290583e-05 0.03612882271409035 1 0.008768008090555668]
20,-80,20,[0.00015704735415056348 0.3190661072731018 0.5524588823318481 0.12847498059272766 0.0002750096609815955 4.127506144868676e-06],[0 9.422290645488829e-07 3.14431672450155e-05 0.08963541686534882 1 0.0014339375775307417]
20,-80,30,[5.990466524963267e-05 0.10776670277118683 0.6755948066711426 0.2166385054588318 0.0003175524470862001 3.4522463465691544e-06],[0 1.224128141075198e-06 4.328884824644774e-05 0.10427441447973251 0.8957256078720093 0.0005771758733317256]
20,-80,40,[2.836485145962797e-05 0.07248149812221527 0.7333004474639893 0.26669958233833313 0.00027695749304257333 2.6523994165472686e-06],[0 1.8299273278898909e-06 8.368762792088091e-05 0.23787525296211243 0.7621247172355652 0.00022695306688547134]
20,-80,50,[2.3760654585203156e-05 0.04113834723830223 0.6725333333015442 0.3274666368961334 0.0002238076413050294 2.2454325971921207e-06],[5.311152904141636e-07 3.848645064863376e-06 0.0002280888584209606 0.5383082628250122 0.4616917371749878 0.00011568839545361698]
20,-80,60,[1.0523670425754972e-05 0.009904603473842144 0.4591386616230011 0.5408613681793213 0.0006712379399687052 4.18576337324339e-06],[7.596021305289469e-07 1.3743558156420477e-05 0.0014350106939673424 0.9008638262748718 0.09913618862628937 3.5285556805320084e-05]
20,-80,70,[1.0047808245872147e-05 0.005594867281615734 0.2970571517944336 0.7029428482055664 0.0015700943768024445 6.603164365515113e-06],[2.1327107333490858e-06 7.505628309445456e-05 0.008634485304355621 1 0.05414468050003052 2.389038672845345e-05]
20,-80,80,[5.571966994466493e-06 0.0011799398344010115 0.06398427486419678 0.9360156655311584 0.008846367709338665 1.1787127732532099e-05],[1.4575264685845468e-05 0.0015296249184757471 0.052413199096918106 0.9475868344306946 0.01640425994992256 2.330920506210532e-05]
20,-80,90,[1.738209175528027e-05 0.0029164464212954044 0.08547670394182205 0.9145233631134033 0.01662832498550415 3.7634188629454e-05],[0.0002802241942845285 0.05017475783824921 0.4473970830440521 0.5526028871536255 0.0028286261949688196 3.23650092468597e-05]
20,-80,100,[0.0008567625773139298 0.1337902545928955 0.4531576931476593 0.4130520224571228 0.008652055636048317 0.0002979530836455524],[0.003517504082992673 0.006522636394947767 0.08013661950826645 0.8312512040138245 0.08861217647790909 0.0032775364816188812]
20,-90,0,[1 0.004099783953279257 8.295362204080448e-05 2.671051333891228e-05 2.9803570669173496e-06 0],[0 0 5.032199510424107e-07 6.023127934895456e-05 0.045646797865629196 1]
20,-90,10,[0.0005740420892834663 0.4668375253677368 0.3698219060897827 0.1633405089378357 0.0011286652879789472 2.5684788852231577e-05],[0 6.876311999803875e-07 1.3993877473694738e-05 0.018823884427547455 1 0.029147103428840637]
20,-90,20,[0.00038441288052126765 0.4740453064441681 0.41889122128486633 0.10706350952386856 0.00032456376357004046 5.630438863590825e-06],[0 5.678097636518942e-07 1.2908103599329479e-05 0.023925872519612312 1 0.010887885466217995]
20,-90,30,[9.185024828184396e-05 0.1502724140882492 0.61918044090271 0.23054707050323486 0.00043430805089883506 5.178575975151034e-06],[0 9.236643450094562e-07 2.5130522772087716e-05 0.07348763197660446 1 0.0019632333423942327]
20,-90,40,[4.7325189370894805e-05 0.07878816872835159 0.6542719602584839 0.2669398784637451 0.00039180362364277244 4.127325610170374e-06],[0 1.1187008794877329e-06 3.460247171460651e-05 0.06245533749461174 0.9375447034835815 0.001184507622383535]
20,-90,50,[4.269368218956515e-05 0.07168523967266083 0.6507629752159119 0.34923702478408813 0.0003173580043949187 3.6945255033060675e-06],[3.3801649124143296e-07 1.7064255644072546e-06 5.208171933190897e-05 0.08355998992919922 0.9164400100708008 0.0015070152003318071]
20,-90,60,[1.3344418221095111e-05 0.012832658365368843 0.42427685856819153 0.5757231116294861 0.0008959745173342526 5.86749411013443e-06],[6.13636757407221e-07 8.045493814279325e-06 0.0005130602512508631 0.6477738618850708 0.3522261381149292 0.00014562680735252798]
20,-90,70,[1.2671101103478577e-05 0.007946857251226902 0.307169646024704 0.6928303837776184 0.0017832907615229487 8.258983143605292e-06],[1.4281860103437793e-06 3.171267235302366e-05 0.002451802371069789 0.8787583708763123 0.12124165147542953 7.344124605879188e-05]
20,-90,80,[1.6583609976805747e-05 0.007680574432015419 0.24893979728221893 0.7510601878166199 0.00352123542688787 1.4034223568160087e-05],[3.2514133181393845e-06 7.624655700055882e-05 0.0056228674948215485 0.9007530808448792 0.09924696385860443 0.00011753366561606526]
20,-90,90,[8.813368367555086e-06 0.0011384536046534777 0.05073976144194603 1 0.04210953786969185 5.305316881276667e-05],[0.00028472099802456796 0.05624877288937569 0.3732669949531555 0.6267330050468445 0.005784055218100548 6.566411320818588e-05]
20,-90,100,[0.0006932570249773562 0.19161012768745422 0.48461252450942993 0.32377734780311584 0.006381946615874767 0.0002051391202257946],[0.00019760649593081325 0.0003811900969594717 0.013808543793857098 0.6372724175453186 0.362727552652359 0.021323468536138535]
20,-100,0,[1 0.0007216008962132037 1.249422348337248e-05 9.266306733479723e-06 3.167602244502632e-06 0],[1.0239739367534639e-07 0 0 6.433267003558285e-07 0.00030151588725857437 1]
20,-100,10,[0.0021244047675281763 0.6015288829803467 0.23365047574043274 0.16482064127922058 0.002329866634681821 8.326792885782197e-05],[0 0 3.3684125355648575e-06 0.001505160005763173 0.5603485107421875 0.4396515190601349]
20,-100,20,[0.0008678878657519817 0.5060426592826843 0.32699376344680786 0.16696365177631378 0.0008995802490971982 2.1849160475539975e-05],[0 0 5.0101184569939505e-06 0.003663110313937068 0.8436914682388306 0.15630851686000824]
20,-100,30,[0.00025611219462007284 0.21534185111522675 0.4672328531742096 0.31742528080940247 0.0011464391136541963 1.8227834516437724e-05],[0 5.549052275455324e-07 7.273062237800332e-06 0.007546545937657356 0.9292530417442322 0.07074695080518723]
20,-100,40,[0.00011376081238267943 0.11353785544633865 0.5164878368377686 0.3699743151664734 0.0009739543893374503 1.2994462849746924e-05],[0 7.231288350340037e-07 1.17996451081126e-05 0.016680706292390823 1 0.04775979369878769]
20,-100,50,[0.00010458459291839972 0.08672167360782623 0.48034536838531494 0.5196546316146851 0.0009045679471455514 1.3050011148152407e-05],[5.436904757516459e-07 1.3759560033577145e-06 2.3495806090068072e-05 0.03280818834900856 1 0.04038764163851738]
20,-100,60,[2.842058165697381e-05 0.018517548218369484 0.3405040204524994 0.6594959497451782 0.001798705430701375 1.5369816537713632e-05],[9.088898309528304e-07 5.0587750592967495e-06 0.00014749883848708123 0.16327233612537384 0.8367276191711426 0.005175015889108181]
20,-100,70,[2.429553023830522e-05 0.009587732143700123 0.22352665662765503 0.776473343372345 0.003782383631914854 2.160394797101617e-05],[2.7050464268540964e-06 2.4490096620866098e-05 0.0009076402639038861 0.5128002762794495 0.48719972372055054 0.0018565865466371179]
20,-100,80,[2.7563353796722367e-05 0.007945225574076176 0.170828714966774 0.8291712999343872 0.00694155041128397 3.2858206395758316e-05],[6.8561016632884275e-06 7.113478932296857e-05 0.0028039547614753246 0.6838493347167969 0.3161506652832031 0.0018449596827849746]
20,-100,90,[5.980304558761418e-05 0.009480186738073826 0.12470143288373947 0.8752986192703247 0.02051706053316593 0.0001073568855645135],[0.00012037446140311658 0.0022168997675180435 0.04331408441066742 0.9192299842834473 0.08077001571655273 0.0020759692415595055]
20,-100,100,[0.0054016439244151115 0.2815961539745331 0.2865701913833618 0.4318337142467499 0.023982739076018333 0.0018297929782420397],[0.0045247748494148254 0.0007442451897077262 0.008843311108648777 0.17394645512104034 0.2652154266834259 0.5608381628990173]
30,0,0,[0.7734169363975525 0.22658301889896393 0.0014400850050151348 0.0002763984666671604 3.414502862142399e-05 0],[1 0.049165721982717514 0.00012192684516776353 3.4389860957162455e-05 4.410247129271738e-06 0]
30,0,10,[2.7394944481784478e-05 0.3128001093864441 0.6118770837783813 0.07532273232936859 0.0004026110691484064 5.060494459030451e-06],[1.6933996448642574e-05 0.09436699002981186 0.7168747782707214 0.18875817954540253 0.00036604213528335094 2.429566393402638e-06]
30,0,20,[1.12940424514818e-05 0.1449780911207199 0.7812278866767883 0.07379405945539474 0.00016303866868838668 1.649760861255345e-06],[1.1862010978802573e-05 0.10046621412038803 0.8044041395187378 0.09512966126203537 9.48669039644301e-05 7.889690891715873e-07]
30,0,30,[8.634397090645507e-06 0.1301920861005783 0.8698078393936157 0.08307912200689316 9.336085349787027e-05 8.018214430194348e-07],[1.6799138393253088e-05 0.24703606963157654 0.7529639005661011 0.054001085460186005 3.62489590770565e-05 0]
30,0,40,[4.045099558425136e-06 0.06166664510965347 0.9221100211143494 0.07789000123739243 9.319642413174734e-05 6.396005574060837e-07],[1.3768730241281446e-05 0.25839248299598694 0.7416074872016907 0.039168648421764374 2.7937054255744442e-05 0]
30,0,50,[2.660235622897744e-06 0.034441642463207245 0.9266799688339233 0.07332008332014084 7.074292079778388e-05 4.3898972990064067e-07],[3.116181324003264e-05 0.7813931703567505 0.21860681474208832 0.004104734398424625 4.6324612412718125e-06 0]
30,0,60,[1.9580518255679635e-06 0.007221526466310024 0.7420458793640137 0.2579541504383087 0.00017064643907360733 6.965315151319373e-07],[5.175739715923555e-05 0.6919878125190735 0.3080121576786041 0.007444620132446289 8.636654456495307e-06 0]
30,0,70,[1.8653105371413403e-06 0.002833639271557331 0.4596076011657715 0.5403923988342285 0.00042106801993213594 1.0110808261742932e-06],[0.0001796696160454303 0.8459981679916382 0.15400190651416779 0.0033109344076365232 6.5138792706420645e-06 0]
30,0,80,[1.5641840036551002e-06 0.000982985133305192 0.15175262093544006 0.8482473492622375 0.001507414155639708 1.7066495274775662e-06],[0.0010854806751012802 1 0.08868472278118134 0.0012765716528519988 4.0614827412355226e-06 0]
30,0,90,[2.222433749921038e-06 0.0006880929577164352 0.07776285707950592 1 0.008169003762304783 5.001077170163626e-06],[0.006367031950503588 1 0.01990112103521824 0.00018116150749847293 1.1813039009211934e-06 0]
30,0,100,[3.12162192130927e-05 0.06894224882125854 0.7798207402229309 0.22017931938171387 0.001791754155419767 9.965644494513981e-06],[0.8872145414352417 0.1127854734659195 0.00012233144661877304 3.3254182199016213e-06 0 0]
30,-10,0,[0.5089330673217773 0.49106693267822266 0.014350430108606815 0.0035990430042147636 0.0001267487823497504 2.737812565101194e-06],[0.014313794672489166 0.5897151231765747 0.2595401108264923 0.1507447063922882 0.006586326286196709 6.805327575420961e-05]
30,-10,10,[1.427152892574668e-05 0.06664565950632095 0.7280916571617126 0.20526272058486938 0.0006353757344186306 5.7326296882820316e-06],[1.3937474250269588e-06 0.0008590966463088989 0.10891876369714737 0.8910812735557556 0.0018092794343829155 2.278579586345586e-06]
30,-10,20,[4.721538971352857e-06 0.024821609258651733 0.7557440400123596 0.24425595998764038 0.00027992206742055714 1.8134746824216563e-06],[1.3063430515103391e-06 0.0011289226822555065 0.2622893452644348 0.7377106547355652 0.0003828188928309828 8.065250085564912e-07]
30,-10,30,[3.817159267782699e-06 0.021096767857670784 0.7988563179969788 0.20114363729953766 0.00018124615598935634 9.9953308563272e-07],[1.5621913007635158e-06 0.0022602854296565056 0.4696456789970398 0.5303543210029602 0.00019123966922052205 4.859653586208879e-07]
30,-10,40,[1.8593036656966433e-06 0.005977192893624306 0.6957257986068726 0.30427417159080505 0.00018084293697029352 7.293355110959965e-07],[2.001605025725439e-06 0.0061332848854362965 0.7424858808517456 0.257514089345932 8.904536662157625e-05 3.39229359269666e-07]
30,-10,50,[1.3373207821132382e-06 0.0027800844982266426 0.628569483757019 0.37143048644065857 0.00014908013690728694 5.05896366576053e-07],[3.851920155284461e-06 0.0322016216814518 0.950813353061676 0.049186598509550095 2.5925970476237126e-05 0]
30,-10,60,[1.1078768693550956e-06 0.0011748000979423523 0.3572109341621399 0.6427890658378601 0.00030299273203127086 7.080964792294253e-07],[9.0644844021881e-06 0.04882889240980148 0.9511711001396179 0.06252697110176086 3.088275116169825e-05 0]
30,-10,70,[1.0791006843646755e-06 0.0007464493974111974 0.1870056390762329 0.8129944205284119 0.0005989909986965358 8.995267535283347e-07],[3.674852996482514e-05 0.22934366762638092 0.7706563472747803 0.02933095581829548 2.9777069357805885e-05 0]
30,-10,80,[7.752893793622206e-07 0.00024576904252171516 0.07570862025022507 1 0.0018749521113932133 1.2461134701879928e-06],[0.00020139999105595052 0.6258893013000488 0.37411072850227356 0.009856585413217545 1.7026110072038136e-05 0]
30,-10,90,[1.126563802245073e-06 0.00021982564067002386 0.03141229599714279 1 0.008474459871649742 3.1803733691049274e-06],[0.0014486424624919891 0.9386614561080933 0.06133854389190674 0.0014764736406505108 5.619758212560555e-06 0]
30,-10,100,[8.010743840713985e-06 0.0074876537546515465 0.47073376178741455 0.5292662382125854 0.0017595450626686215 3.4989141113328515e-06],[0.04304850473999977 0.9569514989852905 0.026806138455867767 0.0007537716301158071 1.3982888958707917e-05 0]
30,-20,0,[0.8484480977058411 0.15155188739299774 0.009309517219662666 0.00265596155077219 9.96253002085723e-05 1.705874865365331e-06],[2.132694498868659e-05 0.0007030432461760938 0.026219824329018593 0.8916139602661133 0.10838601738214493 0.0009627825929783285]
30,-20,10,[1.5402296412503347e-05 0.06626632809638977 0.7011378407478333 0.29886212944984436 0.0008966320310719311 8.748422260396183e-06],[4.337109373864223e-07 3.626725811045617e-05 0.009230283088982105 1 0.018052104860544205 5.272787802823586e-06]
30,-20,20,[6.182952802191721e-06 0.023392008617520332 0.6950729489326477 0.3049270808696747 0.00040531513513997197 2.8600577479664935e-06],[4.3825914985973213e-07 6.046823182259686e-05 0.028142059221863747 1 0.0032998796086758375 1.6589204960837378e-06]
30,-20,30,[4.413735041453037e-06 0.01605650782585144 0.7263838648796082 0.27361607551574707 0.00025370786897838116 1.4576708053937182e-06],[4.533436595011153e-07 9.211074211634696e-05 0.05264521762728691 1 0.0014721453189849854 9.168261954073387e-07]
30,-20,40,[2.2100941805547336e-06 0.004742694552987814 0.6171125173568726 0.38288748264312744 0.00024231341376435012 1.0387348083895631e-06],[7.394395424853428e-07 0.00029729673406109214 0.12421756237745285 0.8757823705673218 0.0005150051438249648 6.719344582961639e-07]
30,-20,50,[1.615451878933527e-06 0.00216001458466053 0.5400559902191162 0.459943950176239 0.00020364417287055403 7.359574283327674e-07],[1.8667702761376859e-06 0.0020877020433545113 0.5952187180519104 0.404781311750412 0.00012257615162525326 4.299779163829953e-07]
30,-20,60,[1.2387187098283903e-06 0.0009365471778437495 0.2936742305755615 0.7063257694244385 0.0003949692763853818 9.450674838262785e-07],[4.413110218592919e-06 0.0094117671251297 0.7895247936248779 0.21047520637512207 0.00010741965525085106 5.320382001627877e-07]
30,-20,70,[1.211214339491562e-06 0.0006466180202551186 0.15829579532146454 0.841704249382019 0.000780793372541666 1.2248631264810683e-06],[1.931562292156741e-05 0.06284239888191223 0.9199695587158203 0.08003050833940506 9.13262483663857e-05 6.444769837798958e-07]
30,-20,80,[8.637578048364958e-07 0.00021334971825126559 0.06655068695545197 1 0.0024099969305098057 1.6765394548201584e-06],[0.00016733750817365944 0.37438496947288513 0.6256150603294373 0.03178310766816139 5.112790677230805e-05 5.685146220457682e-07]
30,-20,90,[1.334171429334674e-06 0.00021652953000739217 0.032075755298137665 1 0.010195787996053696 4.5277738536242396e-06],[0.0016234092181548476 0.8770602941513062 0.12293967604637146 0.004611547105014324 1.638641879253555e-05 3.084616650994576e-07]
30,-20,100,[1.2406848327373154e-05 0.00644401740282774 0.3965308666229248 0.6034691333770752 0.003057303372770548 7.2861848821048625e-06],[0.0957731381058693 0.9042268991470337 0.08084147423505783 0.006178615614771843 0.00019198436348233372 2.1065900455141673e-06]
30,-30,0,[1 0.04596587270498276 0.0013881947379559278 0.0005219719605520368 4.6971559640951455e-05 0],[2.8481714252848178e-05 0.00023483234690502286 0.005736147053539753 0.6733258962631226 0.32667404413223267 0.04712231084704399]
30,-30,10,[2.1188259779592045e-05 0.08905014395713806 0.7103097438812256 0.2896902859210968 0.0010062191868200898 1.056895598594565e-05],[5.077625360172533e-07 3.643216405180283e-05 0.007243169471621513 1 0.02808736264705658 8.424034604104236e-06]
30,-30,20,[8.308447831950616e-06 0.02892182394862175 0.6936456561088562 0.3063543438911438 0.00048055584193207324 3.697485226439312e-06],[3.9251719385902106e-07 3.292839028290473e-05 0.012162522412836552 1 0.007767758797854185 2.664190787982079e-06]
30,-30,30,[5.762306500400882e-06 0.02008175291121006 0.7458975911140442 0.2541024088859558 0.00026214157696813345 1.6021319879655493e-06],[5.423519837677304e-07 9.362739365315065e-05 0.0469144843518734 1 0.0018182533094659448 1.2000997458017082e-06]
30,-30,40,[2.9846989946236135e-06 0.007929342798888683 0.701221764087677 0.2987782061100006 0.00023063109256327152 1.1808715498773381e-06],[8.293059750030807e-07 0.00030784992850385606 0.12483222782611847 0.875167727470398 0.0006274115876294672 8.685583452461287e-07]
30,-30,50,[2.5145805011561606e-06 0.004729689098894596 0.7153704166412354 0.28462958335876465 0.00015911966329440475 8.424155453212734e-07],[2.5449371605645865e-06 0.002885314403101802 0.6888536810874939 0.3111463487148285 0.00012401507410686463 5.910063691771938e-07]
30,-30,60,[1.699450194792007e-06 0.0014542901189997792 0.3813716769218445 0.6186283826828003 0.0003899265720974654 1.1599149729590863e-06],[5.951939328951994e-06 0.014085930772125721 0.8373281359672546 0.16267183423042297 0.00011790433200076222 7.048108159324329e-07]
30,-30,70,[1.5867237834754633e-06 0.0008769840351305902 0.19925746321678162 0.800742506980896 0.0007756159175187349 1.4438579682973796e-06],[2.655553907970898e-05 0.08887378126382828 0.9370606541633606 0.06293932348489761 9.980218601413071e-05 8.046472430578433e-07]
30,-30,80,[1.2260885569048696e-06 0.0003523564664646983 0.09590061753988266 1 0.0022295538801699877 2.024862396865501e-06],[0.00021410682529676706 0.4574538767337799 0.5425461530685425 0.026979127898812294 5.724309085053392e-05 7.123045406842721e-07]
30,-30,90,[1.8650883930604323e-06 0.00031615651096217334 0.039920028299093246 1 0.010122822597622871 5.526333097805036e-06],[0.0019421284087002277 0.9035411477088928 0.0964588150382042 0.003836465999484062 1.797170625650324e-05 3.6444330930862634e-07]
30,-30,100,[2.6164567316300236e-05 0.013735833577811718 0.48904213309288025 0.5109578967094421 0.0033092310186475515 1.231516944244504e-05],[0.2773570418357849 0.6910052299499512 0.03163771331310272 0.005139409564435482 0.00040683665429241955 6.493721230071969e-06]
30,-40,0,[1 0.012968217954039574 0.0004700556746684015 0.0001475902827223763 1.1584930689423345e-05 0],[1.1916631592612248e-06 2.0309805677243276e-06 3.455488331383094e-05 0.03004029206931591 0.722924530506134 0.27707546949386597]
30,-40,10,[5.0580772949615493e-05 0.0984967052936554 0.594258189201355 0.307245135307312 0.0012327460572123528 1.4570401617675088e-05],[3.4428049389134685e-07 4.148510925006121e-06 0.0002826134441420436 0.5714545845985413 0.42854538559913635 0.00013138435315340757]
30,-40,20,[1.6176350982277654e-05 0.04473619535565376 0.6584826707839966 0.34151729941368103 0.0005432001198641956 4.5287793000170495e-06],[2.635116516103153e-07 4.058884314872557e-06 0.00047299140715040267 0.8762026429176331 0.12379738688468933 2.0388390112202615e-05]
30,-40,30,[1.2233575944264885e-05 0.04057866707444191 0.7213822603225708 0.278617799282074 0.0003205126849934459 2.2615299712924752e-06],[0 4.3688037294487e-06 0.0006277862121351063 1 0.09477916359901428 9.371049600304104e-06]
30,-40,40,[4.128434284211835e-06 0.006299672182649374 0.47801291942596436 0.5219870805740356 0.0005965078016743064 2.3235136268340284e-06],[2.635171370002354e-07 1.2939663974975701e-05 0.003170715644955635 1 0.021909695118665695 3.279900511188316e-06]
30,-40,50,[5.2196846809238195e-06 0.007676659617573023 0.5791884660720825 0.42081156373023987 0.00025187485152855515 1.3394013649303815e-06],[3.6047899243385473e-07 1.9218012312194332e-05 0.007666632533073425 1 0.006941116880625486 1.937911520144553e-06]
30,-40,60,[2.757225502136862e-06 0.0019513312727212906 0.2995172142982483 0.7004827857017517 0.0006889913347549736 1.9744165911106393e-06],[9.601893680155626e-07 0.00015124019409995526 0.055471453815698624 1 0.0026028952561318874 1.8799091776600108e-06]
30,-40,70,[2.780646582323243e-06 0.0015547956572845578 0.20043781399726868 0.7995621562004089 0.0012891798978671432 2.6753509700938594e-06],[3.962366918131011e-06 0.0012543246848508716 0.16164669394493103 0.8383533358573914 0.001583124976605177 2.755225295913988e-06]
30,-40,80,[2.1038108570792247e-06 0.0005642651813104749 0.05990464240312576 0.9400953650474548 0.003964957315474749 4.0235363485408016e-06],[4.0254923078464344e-05 0.02619711495935917 0.6336441040039062 0.36635592579841614 0.000644451065454632 3.798752914008219e-06]
30,-40,90,[3.687983053168864e-06 0.0007105026161298156 0.06686513125896454 1 0.012672657147049904 1.0745982763182838e-05],[0.0009168582619167864 0.5416399240493774 0.45836004614830017 0.050803352147340775 0.00016904881340451539 3.6649694266088773e-06]
30,-40,100,[0.00014504685532301664 0.054924238473176956 0.5126621127128601 0.4873379170894623 0.0061761196702718735 5.730642442358658e-05],[0.09151578694581985 0.5137814879417419 0.2686522305011749 0.12605053186416626 0.012543359771370888 0.00043380598071962595]
30,-50,0,[1 0.006163517478853464 0.00019802393217105418 6.854562525404617e-05 6.595398190256674e-06 0],[6.88143074967229e-07 7.83729262820998e-07 6.607216619158862e-06 0.002598564838990569 0.35187458992004395 0.648125410079956]
30,-50,10,[0.00010320038563804701 0.157578706741333 0.5540553331375122 0.2883659601211548 0.0010907792020589113 1.4815706890658475e-05],[3.071208993787877e-07 2.114491053362144e-06 8.04606534074992e-05 0.1844591498374939 0.8155407905578613 0.0006017521372996271]
30,-50,20,[3.079261659877375e-05 0.06700946390628815 0.6539233326911926 0.34607669711112976 0.0005155831458978355 5.031399268773384e-06],[2.876551263852889e-07 2.477840325809666e-06 0.00014157315308693796 0.4942905902862549 0.5057094097137451 9.65244325925596e-05]
30,-50,30,[1.9515156964189373e-05 0.05759643763303757 0.7293323278427124 0.2706676721572876 0.0002807617711368948 2.2489618913823506e-06],[0 2.8385454697854584e-06 0.00021441656281240284 0.7556115984916687 0.24438835680484772 2.9920363886049017e-05]
30,-50,40,[8.767390681896359e-06 0.017921632155776024 0.6150743365287781 0.3849256932735443 0.0003171570715494454 1.9205988337489543e-06],[2.5077969212361495e-07 3.797334102273453e-06 0.0003935974382329732 0.8954237103462219 0.1045762225985527 1.35305763251381e-05]
30,-50,50,[5.7520837799529545e-06 0.0038299078587442636 0.2906535863876343 0.7093464136123657 0.0006994016584940255 2.5045446818694472e-06],[4.2156341351073934e-07 8.99214774108259e-06 0.0010544524993747473 1 0.06542807072401047 9.721513379190583e-06]
30,-50,60,[4.231601451465394e-06 0.003104881616309285 0.3259134888648987 0.6740865707397461 0.0006995326839387417 2.375914846197702e-06],[6.072008886803815e-07 3.3922398870345205e-05 0.007706023287028074 1 0.014839929528534412 4.0820141293806955e-06]
30,-50,70,[4.032255674246699e-06 0.0021425026934593916 0.2065006047487259 0.7934993505477905 0.0013977262424305081 3.2936497973423684e-06],[2.1073010429972783e-06 0.00026365494704805315 0.04896782338619232 1 0.006158113945275545 4.5508368202717975e-06]
30,-50,80,[3.5145017136528622e-06 0.0009752977057360113 0.07975904643535614 0.9202409386634827 0.004011749289929867 5.291805791785009e-06],[1.7694390407996252e-05 0.0046508521772921085 0.2244715392589569 0.7755284309387207 0.0026611541397869587 7.003765404078877e-06]
30,-50,90,[6.471374035754707e-06 0.0012823957949876785 0.05422082915902138 0.9457791447639465 0.01151846069842577 1.3672071872861125e-05],[0.0005789192509837449 0.27954578399658203 0.6128756999969482 0.1075785756111145 0.0004065777757205069 8.134963536576834e-06]
30,-50,100,[0.00046128398389555514 0.06489153951406479 0.4502836763858795 0.4848247766494751 0.008577795699238777 0.00013491381832864136],[0.06387661397457123 0.21288609504699707 0.3364098370075226 0.3868274390697479 0.04299766570329666 0.0018043385352939367]
30,-60,0,[1 0.006556699518114328 0.00022132406593300402 7.813938282197341e-05 6.722696070937673e-06 0],[0 8.199795615837502e-07 9.009962013806216e-06 0.004857125226408243 0.4845496714115143 0.5154503583908081]
30,-60,10,[0.00014883758558426052 0.2238595336675644 0.5272535085678101 0.24888692796230316 0.0010998847428709269 1.7097470845328644e-05],[0 1.7597874375496758e-06 6.472199311247095e-05 0.1296849250793457 0.8703151345252991 0.0009735813364386559]
30,-60,20,[5.581909863394685e-05 0.0983033999800682 0.6469464302062988 0.25475016236305237 0.0005020495736971498 5.977670753054554e-06],[0 1.8895706261901069e-06 9.494737605564296e-05 0.29762619733810425 0.702373743057251 0.00020989474433008581]
30,-60,30,[3.075562563026324e-05 0.09278423339128494 0.7653420567512512 0.23465797305107117 0.00028586326516233385 2.583019750090898e-06],[0 2.477415591783938e-06 0.00016461916675325483 0.6097765564918518 0.3902234733104706 5.715450242860243e-05]
30,-60,40,[1.4964505680836737e-05 0.0387408472597599 0.6949597001075745 0.30504029989242554 0.00031341504654847085 2.427296522000688e-06],[2.62144311591328e-07 3.1225210932461778e-06 0.00025916032609529793 0.7532157301902771 0.2467842698097229 3.316713991807774e-05]
30,-60,50,[1.4211203051672783e-05 0.02654408849775791 0.6784933805465698 0.3215065896511078 0.00020741811022162437 1.7871130921776057e-06],[3.6690221349999774e-07 5.687271368515212e-06 0.0007160762324929237 0.9398152828216553 0.06018475443124771 1.3497515283233952e-05]
30,-60,60,[3.224163947379566e-06 0.0016166471177712083 0.1886717528104782 0.8113282322883606 0.0014489567838609219 3.4851086638809647e-06],[7.780055284456466e-07 5.843916005687788e-05 0.011209522373974323 1 0.01709909923374653 5.544642590393778e-06]
30,-60,70,[5.9109665926371235e-06 0.00355742359533906 0.2712878882884979 0.7287120819091797 0.0014619253342971206 4.569227257888997e-06],[1.8514402881919523e-06 0.00014992235810495913 0.02628147229552269 1 0.01359509862959385 7.747157724224962e-06]
30,-60,80,[4.996383268007776e-06 0.00149330566637218 0.1066051796078682 0.8933947682380676 0.004298352170735598 7.635099791514222e-06],[1.2543802768050227e-05 0.001978318439796567 0.11402895301580429 0.8859710693359375 0.005797204095870256 1.0991138879035134e-05]
30,-60,90,[8.617985258752014e-06 0.001762539497576654 0.06822279095649719 0.9317772388458252 0.012485179118812084 1.98351226572413e-05],[0.00046771200140938163 0.17089170217514038 0.6547775268554688 0.1743307262659073 0.0006295805796980858 1.213436098623788e-05]
30,-60,100,[0.0003837865369860083 0.07848478108644485 0.49855074286460876 0.4229644536972046 0.006736450362950563 0.00012419816630426794],[0.04118660092353821 0.17730167508125305 0.38473349809646606 0.3967782258987427 0.03395199403166771 0.0011217847932130098]
