gv,bv,pw,positive,negative
0,-10,20,[0.2135353684425354 0.7864646315574646 0.00771541241556406 0.0005658522131852806 3.202484094799729e-06 0],[3.8785590732004493e-05 0.18858103454113007 0.5749052166938782 0.23651374876499176 0.0006220946670509875 2.2490178253065096e-06]
0,-10,30,[0.08299124240875244 0.9170087575912476 0.009912406094372272 0.0005792029551230371 2.4859350560291205e-06 0],[4.281676228856668e-05 0.3157826364040375 0.5673456192016602 0.11687178909778595 0.00024483251036144793 9.406594472238794e-07]
0,-10,40,[0.03133045881986618 1 0.014164013788104057 0.0006617525941692293 2.3710667846899014e-06 0],[4.616888327291235e-05 0.4842686057090759 0.5157313942909241 0.07979745417833328 0.00011813746095867828 5.803939870929753e-07]
0,-10,50,[0.0721648782491684 1 0.004768394865095615 0.0001548776199342683 6.903572966621141e-07 0],[0.0001800550817279145 0.8620783686637878 0.13792161643505096 0.020377809181809425 3.94619710277766e-05 3.581561713872361e-07]
0,-10,60,[0.0020533022470772266 1 0.029029376804828644 0.0014808772830292583 4.932970114168711e-06 0],[0.0002836014609783888 0.8730132579803467 0.12698675692081451 0.014840655960142612 3.1970805139280856e-05 3.6498710187515826e-07]
0,-10,70,[0.0012868730118498206 1 0.04410168156027794 0.0027220870833843946 1.2162448911112733e-05 2.7935814728152764e-07],[0.00112105009611696 0.9442505836486816 0.05574939772486687 0.007058318704366684 2.9548778911703266e-05 4.214231807964097e-07]
0,-10,80,[0.0018625040538609028 1 0.04009585827589035 0.003158933948725462 2.1038680642959662e-05 5.33129252744402e-07],[0.004776908550411463 1 0.04560951888561249 0.0036507330369204283 2.547181247791741e-05 5.008333801015397e-07]
0,-10,90,[0.003964493982493877 1 0.028355248272418976 0.002696206560358405 3.290296808700077e-05 1.1922751355086803e-06],[0.014292805455625057 1 0.025119701400399208 0.001988651230931282 2.1639101760229096e-05 6.178784701660334e-07]
0,-10,100,[1 0.05229443311691284 0.00010864376235986128 1.702032022876665e-05 1.573119106978993e-06 0],[0.09910722821950912 0.9008927345275879 0.022119924426078796 0.00912791583687067 0.00036046799505129457 1.4599315363739152e-05]
0,-20,0,[1 7.015776645857841e-05 0 0 0 0],[1.2604358744283672e-05 2.6314372007618658e-05 0.0004251568461768329 0.20315098762512207 0.5339651703834534 0.26288387179374695]
0,-20,10,[0.7637749910354614 0.2362249791622162 0.0034161147195845842 0.0003887574130203575 5.50491267858888e-06 0],[3.8109562865429325e-06 0.0016492758877575397 0.0441313162446022 0.955868661403656 0.02631041407585144 3.3449585316702724e-05]
0,-20,20,[0.16786722838878632 0.8321327567100525 0.01399032212793827 0.0017885798588395119 1.1417178029660136e-05 0],[1.882102878880687e-05 0.06283091753721237 0.44436320662498474 0.5556368231773376 0.0023303567431867123 6.9619945861632004e-06]
0,-20,30,[0.10386893898248672 0.8961310982704163 0.016981475055217743 0.0012934524565935135 4.359001195552992e-06 0],[7.241855655593099e-06 0.030630983412265778 0.5019388198852539 0.4980611801147461 0.0007810586830601096 1.2741083992295898e-06]
0,-20,40,[0.0333581380546093 1 0.02599857747554779 0.0015831217169761658 4.129815806663828e-06 0],[1.0756051779026166e-05 0.07931999117136002 0.7259173393249512 0.27408260107040405 0.0003144902002532035 7.743655032754759e-07]
0,-20,50,[0.08124253153800964 1 0.008179103024303913 0.00032587116584181786 1.0915410939560388e-06 0],[5.656795110553503e-05 0.37155643105506897 0.5421500205993652 0.08629357069730759 0.00013591963215731084 6.770716254322906e-07]
0,-20,60,[0.002045671222731471 1 0.04768829792737961 0.003059509675949812 8.074262950685807e-06 0],[8.80895386217162e-05 0.529353678226471 0.47064632177352905 0.06123899295926094 8.350814459845424e-05 5.996463414703612e-07]
0,-20,70,[0.001303844852373004 1 0.0684787780046463 0.005377316381782293 1.9760527720791288e-05 3.9046670963216457e-07],[0.00041232354124076664 0.7889295816421509 0.21107041835784912 0.02650151588022709 7.533314055763185e-05 7.496840908061131e-07]
0,-20,80,[0.0017995364032685757 1 0.06722228974103928 0.007127670105546713 3.9976235711947083e-05 8.630009347143641e-07],[0.002029895083978772 0.922977864742279 0.07702209800481796 0.014135162346065044 8.114268712233752e-05 1.161662567028543e-06]
